Rank,Business Name,Phone Number,Rating,Review Count,Address,City,State,ZIP,Website,Quality Score,Lead Quality,Call Priority,Owner Name,Owner Email,Contact Email,Enrichment Source,Notes,Call Status,Call Date,Follow Up
123,Point Loma Native Plant Garden,(619) 297-7380,4.7,52,"2275 Mendocino Blvd, San Diego, CA 92107, USA",San Diego,CA,92107,http://sandiegoriver.org/point_loma.html,65,MEDIUM,HIGH,,,,google_places,,,,
124,Planter Paradise Inc,(619) 440-6563,4.7,251,"1146 E Chase Ave, El Cajon, CA 92020, USA",El Cajon,CA,92020,https://planter-paradise-inc.com-place.com/,65,MEDIUM,HIGH,,,,google_places,,,,
125,Designs 4 You Remodeling,(619) 914-6645,4.8,170,"9434 Chesapeake Dr Suite 1211, San Diego, CA 92123, USA",San Diego,CA,92123,https://www.designs4yousd.com/?utm_campaign=gmb,65,MEDIUM,HIGH,,,,google_places,,,,
126,Mueller Landscape Inc,(619) 391-3887,4.8,243,"11774 Hi Ridge Rd, Lakeside, CA 92040, USA",Lakeside,CA,92040,https://muellerlandscapeinc.com/?utm_source=google&utm_medium=organic&utm_campaign=profile+link,65,MEDIUM,HIGH,,,,google_places,,,,
127,Walter Andersen Nursery,(619) 224-8271,4.8,455,"3642 Enterprise St, San Diego, CA 92110, USA",San Diego,CA,92110,http://www.walterandersen.com/,65,MEDIUM,HIGH,,,,google_places,,,,
128,Hunter's Nursery Inc,(619) 463-9341,4.8,152,"3110 Sweetwater Rd, Lemon Grove, CA 91945, USA",Lemon Grove,CA,91945,http://www.huntersnursery.com/,65,MEDIUM,HIGH,,,,google_places,,,,
129,Green Gardens Nursery,(858) 483-7846,4.8,169,"4910 Cass St, San Diego, CA 92109, USA",San Diego,CA,92109,http://www.greengardenssd.com/,65,MEDIUM,HIGH,,,,google_places,,,,
130,City Farmers Nursery,(619) 284-6358,4.8,363,"3110 Euclid Ave, San Diego, CA 92105, USA",San Diego,CA,92105,http://www.cityfarmersnursery.com/,65,MEDIUM,HIGH,,,,google_places,,,,
131,Rancho Valhalla Nursery,(619) 590-1025,4.8,108,"1998 E Chase Ave A, El Cajon, CA 92020, USA",El Cajon,CA,92020,https://ranchovalhallanursery.wordpress.com/,65,MEDIUM,HIGH,,,,google_places,,,,
132,Rose and Cactus Gardens,(619) 239-0512,4.8,104,"San Diego, CA 92104, USA",San Diego,CA,92104,https://www.balboapark.org/gardens/rose-garden,65,MEDIUM,HIGH,,,,google_places,,,,
133,Walter Andersen Nursery-Poway,(858) 513-4900,4.8,882,"12755 Danielson Ct, Poway, CA 92064, USA",Poway,CA,92064,http://www.walterandersen.com/,65,MEDIUM,HIGH,,,,google_places,,,,
134,Garden Coffee,(619) 500-8004,4.8,212,"2611 Congress St, San Diego, CA 92110, USA",San Diego,CA,92110,https://gardencoffegogo.site/,65,MEDIUM,HIGH,,,,google_places,,,,
135,CM Precision Tree and Landscape Maintenance Inc,(619) 815-4058,5.0,182,"4401 Twain Ave, San Diego, CA 92120, USA",San Diego,CA,92120,https://treeserviceinsandiego.com/?utm_campaign=gmb,65,MEDIUM,HIGH,,,,google_places,,,,
136,Tree Loyalty LLC,(619) 372-5084,5.0,85,"PO Box 123, 7770 Regents Rd #113, La Jolla, CA 92037, USA",San Diego,CA,92037,http://www.treeloyalty.com/,65,MEDIUM,HIGH,,,,google_places,,,,
137,Tree Service San Diego,(858) 201-5554,5.0,59,"5187 San Aquario Dr, San Diego, CA 92109, USA",San Diego,CA,92109,https://treeservicesandiegoca.com/,65,MEDIUM,HIGH,,,,google_places,,,,
138,ESCOBAR TREE SERVICE & STUMP GRINDER,(619) 771-8418,5.0,94,"3596 Chamoune Ave, San Diego, CA 92105, USA",San Diego,CA,92105,https://escobartreeservicestumpgrinder.com/,65,MEDIUM,HIGH,,,,google_places,,,,
139,Higuera Tree Care,(619) 300-1340,5.0,100,"187 Mace St Suite H, Chula Vista, CA 91911, USA",Chula Vista,CA,91911,https://www.higueratreecare.com/,65,MEDIUM,HIGH,,,,google_places,,,,
140,Sego Nursery Inc,(818) 763-5711,4.2,166,"12126 Burbank Blvd, Valley Village, CA 91607, USA",Los Angeles,CA,91607,,65,MEDIUM,HIGH,,,,google_places,,,,
141,Rolling Greens Beverly Grove,(310) 559-8656,4.3,113,"7505 Beverly Blvd, Los Angeles, CA 90036, USA",Los Angeles,CA,90036,https://www.rollinggreens.com/,65,MEDIUM,HIGH,,,,google_places,,,,
142,Dream Garden,(323) 465-0161,4.3,72,"6751 Sunset Blvd, Los Angeles, CA 90028, USA",Los Angeles,CA,90028,https://artshopla.wixsite.com/thedreamgarden,65,MEDIUM,HIGH,,,,google_places,,,,
143,Rolling Greens Culver City,(310) 559-8656,4.6,113,"9528 Jefferson Blvd, Culver City, CA 90232, USA",Culver City,CA,90232,https://www.rollinggreens.com/,65,MEDIUM,HIGH,,,,google_places,,,,
144,California Cactus Center,(626) 795-2788,4.6,94,"216 S Rosemead Blvd, Pasadena, CA 91107, USA",Pasadena,CA,91107,http://cactuscenter.com/,65,MEDIUM,HIGH,,,,google_places,,,,
145,Lincoln Ave. Nursery,(626) 792-2138,4.7,201,"804 Lincoln Ave, Pasadena, CA 91103, USA",Pasadena,CA,91103,https://lincolnavenuenursery.com/,65,MEDIUM,HIGH,,,,google_places,,,,
146,Sunset Boulevard Nursery,(323) 661-1642,4.7,226,"4368 Sunset Blvd, Los Angeles, CA 90029, USA",Los Angeles,CA,90029,http://www.sunsetblvdnursery.com/,65,MEDIUM,HIGH,,,,google_places,,,,
147,Picture Build,(818) 514-8764,4.8,75,"12410 Foothill Blvd Unit U, Sylmar, CA 91342, USA",Los Angeles,CA,91342,https://www.picturebuild.com/?utm_campaign=gmb,65,MEDIUM,HIGH,,,,google_places,,,,
148,American Eagle Tree Service,(818) 457-0891,4.9,66,"12110 Gager St, Sylmar, CA 91342, USA",Los Angeles,CA,91342,https://jesusamericaneagle.wixsite.com/americaneagletreeser,65,MEDIUM,HIGH,,,,google_places,,,,
149,Tansy,(800) 580-0541,4.9,107,"2120 W Magnolia Blvd, Burbank, CA 91506, USA",Burbank,CA,91506,https://shoptansy.com/,65,MEDIUM,HIGH,,,,google_places,,,,
150,Maria’s Garden Center,(310) 527-7750,4.5,79,"20300 S Figueroa St, Carson, CA 90745, USA",Carson,CA,90745,http://www.mariasgardencenter.com/,65,MEDIUM,HIGH,,,,google_places,,,,
151,C&S Garden Center,(424) 435-5506,4.9,51,"4167 Marine Ave, Lawndale, CA 90260, USA",Lawndale,CA,90260,http://www.csgardencenter.com/,65,MEDIUM,HIGH,,,,google_places,,,,
152,Greenplace Inc,(714) 399-7718,5.0,73,"2151 Pacific Ave A205, Costa Mesa, CA 92627, USA",Costa Mesa,CA,92627,https://greenplaceusa.com/,65,MEDIUM,HIGH,,,,google_places,,,,
153,Los Feliz Nursery,(909) 461-7435,3.9,10,"4182 Descanso Ave, Chino Hills, CA 91709, USA",Chino Hills,CA,91709,,65,HIGH,HIGH,,,,google_places,,,,
154,Van Ness Water Gardens,(909) 982-2425,4.7,61,"2460 N Euclid Ave, Upland, CA 91784, USA",Upland,CA,91784,http://www.vnwg.com/,65,MEDIUM,HIGH,,,,google_places,,,,
155,Vivid Landscape,(626) 654-3766,4.8,54,"1860 W 9th St, Upland, CA 91786, USA",Upland,CA,91786,https://www.vividlandscapeinc.com/,65,MEDIUM,HIGH,,,,google_places,,,,
156,Smith Landscape,(909) 456-9123,4.8,50,"154 W Foothill Blvd Unit 356, Upland, CA 91786, USA",Upland,CA,91786,https://www.smithlandscapemasonry.com/,65,MEDIUM,HIGH,,,,google_places,,,,
157,Glendora Gardens Nursery,(626) 914-6718,4.8,307,"1132 S Grand Ave, Glendora, CA 91740, USA",Glendora,CA,91740,http://www.glendoragardens.com/,65,MEDIUM,HIGH,,,,google_places,,,,
158,Tom Day Tree Service Inc,(909) 629-6960,4.9,60,"275 Sierra Pl, Upland, CA 91786, USA",Upland,CA,91786,https://tomdaytreeservice.com/,65,MEDIUM,HIGH,,,,google_places,,,,
159,Plant Safari,(909) 946-1104,4.9,221,"653 N Central Ave, Upland, CA 91786, USA",Upland,CA,91786,https://www.plantsafari.biz/,65,MEDIUM,HIGH,,,,google_places,,,,
160,"Paredes Nursery, Inc.",(909) 875-2589,3.8,13,"138 S Meridian Ave, Rialto, CA 92376, USA",Rialto,CA,92376,,65,HIGH,HIGH,,,,google_places,,,,
161,Yoshi's Lawnmower,(951) 684-0292,4.0,23,"3350 Mary St, Riverside, CA 92506, USA",Riverside,CA,92506,,65,HIGH,HIGH,,,,google_places,,,,
162,Richie's Lawn & Sprinkler Service,(909) 360-8989,4.1,23,"11660 Church St, Rancho Cucamonga, CA 91730, USA",Rancho Cucamonga,CA,91730,https://rlss.aimhighwebsites.com/,65,MEDIUM,HIGH,,,,google_places,,,,
163,South Bay Sprinklers,(310) 378-7606,4.2,6,"4001 W 242nd St, Torrance, CA 90505, USA",Torrance,CA,90505,http://southbaysprinklers.com/,60,MEDIUM,HIGH,,,,google_places,,,,
164,Garden Center | The Home Depot,(714) 539-0319,4.3,40,"10801 Garden Grove Blvd, Garden Grove, CA 92843, USA",Garden Grove,CA,92843,https://www.homedepot.com/l/Garden-Grove/CA/Garden-Grove/92843/6639/garden-center?emt=GCGMBGoogleMaps,60,MEDIUM,HIGH,,,,google_places,,,,
165,Unique Tree service,(714) 402-0169,4.4,25,"747 N Philadelphia St, Anaheim, CA 92805, USA",Anaheim,CA,92805,https://uniquetreeservicei.wixsite.com/website,60,MEDIUM,HIGH,,,,google_places,,,,
166,"Rosewood Landscape, Inc.",(424) 306-1177,4.5,41,"318 Tejon Pl, Palos Verdes Estates, CA 90274, USA",Palos Verdes Estates,CA,90274,https://www.rosewoodlandscape.com/,60,MEDIUM,HIGH,,,,google_places,,,,
167,Los Angeles CA Tree Service,(323) 736-4900,4.7,30,"360 Burnside Ave #11K, Los Angeles, CA 90036, USA",Los Angeles,CA,90036,https://losangelescatreeservice.com/,60,MEDIUM,HIGH,,,,google_places,,,,
168,C&A Tree Care Services Inc,(714) 666-2590,4.7,39,"7082 Thomas St, Buena Park, CA 90621, USA",Buena Park,CA,90621,https://www.catreecare.com/,60,MEDIUM,HIGH,,,,google_places,,,,
169,JC Tree Care and Landscape,(714) 675-0978,4.8,47,"107 W Delft Ave, Santa Ana, CA 92703, USA",Santa Ana,CA,92703,http://www.jctreecareandlandscape.com/,60,MEDIUM,HIGH,,,,google_places,,,,
170,Four Seasons Landscaping,(323) 375-8000,4.9,32,"6337 Santa Fe Ave, Huntington Park, CA 90255, USA",Huntington Park,CA,90255,https://www.fourseasonsla.com/,60,MEDIUM,HIGH,,,,google_places,,,,
171,Luna Landscape Co,(626) 862-2110,4.9,42,"15407 Garo St, Hacienda Heights, CA 91745, USA",Hacienda Heights,CA,91745,https://www.lunalandscapeco.com/,60,MEDIUM,HIGH,,,,google_places,,,,
172,Titan Pavers Los Angeles - Paver Installation,(818) 826-2327,4.9,41,"425 S Fairfax Ave #309, Los Angeles, CA 90036, USA",Los Angeles,CA,90036,https://titanpavers.com/paver-installation-los-angeles/,60,MEDIUM,HIGH,,,,google_places,,,,
173,Excellence landscaping and Maintenance,(323) 691-4607,5.0,35,"11312 Buell St, Downey, CA 90241, USA",Downey,CA,90241,https://excellencelandscapingservices.com/,60,MEDIUM,HIGH,,,,google_places,,,,
174,Beach Cities Tree Care Inc,(424) 310-9392,5.0,31,"1106 Barbara St, Torrance, CA 90505, USA",Torrance,CA,90505,http://www.beachcitiestreecare.com/,60,MEDIUM,HIGH,,,,google_places,,,,
175,Stacker Landscaping + Concrete,(626) 506-0018,4.0,7,"13131 Judith St, Baldwin Park, CA 91706, USA",Baldwin Park,CA,91706,,60,MEDIUM,HIGH,,,,google_places,,,,
176,Your Way Tree Service Inc.,(818) 882-2335,4.4,30,"12318 Branford St, Sun Valley, CA 91352, USA",Los Angeles,CA,91352,https://yourwaytreeserviceinc.com/,60,MEDIUM,HIGH,,,,google_places,,,,
177,Johnson Tree Service,(626) 447-5239,4.5,37,"401 Montana St, Monrovia, CA 91016, USA",Monrovia,CA,91016,https://treeservice-sangabrielvalley.com/,60,MEDIUM,HIGH,,,,google_places,,,,
178,Deibys Landscape & concrete inc.,(562) 331-2863,4.6,43,"12155 Eastman St, Cerritos, CA 90703, USA",Cerritos,CA,90703,http://www.cerritoslandscape.com/,60,MEDIUM,HIGH,,,,google_places,,,,
179,Green Grounds Landscape Services,(323) 452-9945,4.8,29,"5401 W Adams Blvd, Los Angeles, CA 90016, USA",Los Angeles,CA,90016,http://www.greengrounds.com/,60,MEDIUM,HIGH,,,,google_places,,,,
180,Colibri Landscape & Design,(818) 730-7339,4.9,42,"4949 Tyrone Ave, Sherman Oaks, CA 91423, USA",Los Angeles,CA,91423,https://colibrilandscapedesign.com/,60,MEDIUM,HIGH,,,,google_places,,,,
181,A Sandoval Tree Service,(818) 455-3368,4.9,45,"13375 Wingo St, Arleta, CA 91331, USA",Los Angeles,CA,91331,https://www.asandovaltreeservice.com/,60,MEDIUM,HIGH,,,,google_places,,,,
182,Jimmie’s Tree Service Inc.,(562) 423-6202,4.9,39,"Long Beach, CA 90805, USA",Long Beach,CA,90805,http://www.jimmiestreeservice.com/,60,MEDIUM,HIGH,,,,google_places,,,,
183,Artscape Gardens,(323) 510-8305,4.9,37,"4654 Carnegie St, Los Angeles, CA 90032, USA",Los Angeles,CA,90032,http://artscapegardens.com/,60,MEDIUM,HIGH,,,,google_places,,,,
184,HB Landscape Design LLC,(310) 254-0937,4.9,42,"Federal Ave, Los Angeles, CA 90025, USA",Los Angeles,CA,90025,http://www.hblandscapedesign.com/,60,MEDIUM,HIGH,,,,google_places,,,,
185,Lush Gardens Inc,(818) 245-4447,4.9,32,"14622 Ventura Blvd #760, Sherman Oaks, CA 91403, USA",Los Angeles,CA,91403,https://lushgardensinc.com/,60,MEDIUM,HIGH,,,,google_places,,,,
186,Garden Works Landscape Service,(310) 930-5353,5.0,39,"2444 Chelsea Pl, Santa Monica, CA 90404, USA",Santa Monica,CA,90404,http://www.landscapingtreela.com/,60,MEDIUM,HIGH,,,,google_places,,,,
187,Green Splendor Landscaping - Pasadena Landscape & Garden Design,(626) 710-2227,5.0,26,"1963 Santa Rosa Ave, Pasadena, CA 91104, USA",Pasadena,CA,91104,https://greensplendorlandscaping.com/,60,MEDIUM,HIGH,,,,google_places,,,,
188,Lonestar Builders CA,(323) 633-7766,5.0,32,"467 Arnaz Dr, Los Angeles, CA 90048, USA",Los Angeles,CA,90048,https://lonestarbuildersca.com/,60,MEDIUM,HIGH,,,,google_places,,,,
189,Barba Landscape & Design,(310) 877-4008,5.0,40,"710 Marine St, Santa Monica, CA 90405, USA",Santa Monica,CA,90405,https://www.barbalandscapedesign.com/,60,MEDIUM,HIGH,,,,google_places,,,,
190,Hye Turf Designs,(818) 817-1488,5.0,33,"6429 Mammoth Ave, Van Nuys, CA 91401, USA",Los Angeles,CA,91401,https://www.hyeturfdesigns.com/?y_source=1_MTA1MTY2OTI4OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,60,MEDIUM,HIGH,,,,google_places,,,,
191,Scapes La,(818) 505-3477,5.0,34,"12822 Sherman Way, North Hollywood, CA 91605, USA",Los Angeles,CA,91605,http://scapesla.com/,60,MEDIUM,HIGH,,,,google_places,,,,
192,Serenity Gardening & Landscaping Services,(626) 956-3891,3.9,7,"18654 Altario St, La Puente, CA 91744, USA",La Puente,CA,91744,,60,MEDIUM,HIGH,,,,google_places,,,,
193,Brita's Old Town Gardens,(562) 430-5019,4.2,33,"225 Main St A, Seal Beach, CA 90740, USA",Seal Beach,CA,90740,,60,MEDIUM,HIGH,,,,google_places,,,,
194,California Greenhouses - House Plant Nursery,(949) 552-9619,4.4,34,"3350 Warner Ave, Irvine, CA 92606, USA",Irvine,CA,92606,http://www.calgreenhouses.com/,60,MEDIUM,HIGH,,,,google_places,,,,
195,Paez Tree Service,(714) 926-9413,4.6,42,"1705 S State College Blvd, Anaheim, CA 92806, USA",Anaheim,CA,92806,https://www.paeztreeservice.com/,60,MEDIUM,HIGH,,,,google_places,,,,
196,OC Sprinkler Doctor,(714) 818-9644,4.8,49,"3721 Franklin Ave APT B, Fullerton, CA 92833, USA",Fullerton,CA,92833,http://sprinklerdoctoroc.com/,60,MEDIUM,HIGH,,,,google_places,,,,
197,Peterson's Tree Works Inc,(714) 771-4243,4.9,48,"605 N Rancho Santiago Blvd, Orange, CA 92869, USA",Orange,CA,92869,http://www.petersonstreeworks.com/,60,MEDIUM,HIGH,,,,google_places,,,,
198,Richard Diaz Landscape,(714) 673-2643,4.9,29,"633 N Heatherstone Dr, Orange, CA 92869, USA",Orange,CA,92869,https://richarddiazlandscaping.com/,60,MEDIUM,HIGH,,,,google_places,,,,
199,Mejia’s Tree Service,(909) 236-9836,5.0,26,"1773 Fleming St, Pomona, CA 91766, USA",Pomona,CA,91766,http://mejiastreeservice.com/,60,MEDIUM,HIGH,,,,google_places,,,,
200,Reliable Tree Service,(714) 528-1092,5.0,40,"18032 Lemon Dr #204, Yorba Linda, CA 92886, USA",Yorba Linda,CA,92886,https://www.reliabletreeserv.com/,60,MEDIUM,HIGH,,,,google_places,,,,
201,OC West Landscape,(949) 939-6639,5.0,34,"8583 Irvine Center Dr Suite 370, Irvine, CA 92618, USA",Irvine,CA,92618,http://ocwest.com/,60,MEDIUM,HIGH,,,,google_places,,,,
202,Tavera's Custom Landscape,(714) 396-4552,5.0,47,"2720 E Walnut Ave UNIT 61, Orange, CA 92867, USA",Orange,CA,92867,https://taverascustomlandscape.com/,60,MEDIUM,HIGH,,,,google_places,,,,
203,"W BROTHERS LANDSCAPE, Inc.",(855) 927-6757,5.0,27,"159 N Pixley St, Orange, CA 92868, USA",Orange,CA,92868,http://wbroslandscape.com/,60,MEDIUM,HIGH,,,,google_places,,,,
204,Signature Landscape,(949) 755-8636,4.8,45,"25862 Jamon Ln, Mission Viejo, CA 92691, USA",Mission Viejo,CA,92691,https://www.signaturelandscape.com/,60,MEDIUM,HIGH,,,,google_places,,,,
205,Coastal Arbor Tree Service Inc,(949) 392-3100,5.0,29,"32932 Avenida Descanso #4412, San Juan Capistrano, CA 92675, USA",San Juan Capistrano,CA,92675,https://coastalarbortreeservice.com/,60,MEDIUM,HIGH,,,,google_places,,,,
206,Lucky Smartscape,(833) 243-8999,5.0,30,"999 Corporate Dr Suite 100 #3425, Ladera Ranch, CA 92694, USA",Ladera Ranch,CA,92694,http://luckysmartscape.com/,60,MEDIUM,HIGH,,,,google_places,,,,
207,Lifetime Outdoor Living,(949) 919-0339,5.0,47,"1968 S Coast Hwy Suite 570, Laguna Beach, CA 92651, USA",Laguna Beach,CA,92651,https://lifetimeoutdoorliving.com/,60,MEDIUM,HIGH,,,,google_places,,,,
208,J&M Tree Service Moreno Valley,(951) 524-7131,4.2,5,"12410 Graham St, Moreno Valley, CA 92553, USA",Moreno Valley,CA,92553,http://www.riversidetreecare.com/tree-service-moreno-valley,60,MEDIUM,HIGH,,,,google_places,,,,
209,Pena Nursery,(909) 875-0594,4.2,30,"10545 Spruce Ave, Bloomington, CA 92316, USA",Bloomington,CA,92316,,60,MEDIUM,HIGH,,,,google_places,,,,
210,Meza’s landscaping supplies,(951) 570-0309,4.4,48,"21740 Elmwood St, Perris, CA 92570, USA",Perris,CA,92570,https://www.mesaslandscapingsupplies.com/,60,MEDIUM,HIGH,,,,google_places,,,,
211,"Valley Pacific Landscape, Inc",(951) 741-5146,4.5,26,"11698 Capitol Dr, Riverside, CA 92503, USA",Riverside,CA,92503,https://www.valleypacificlandscapinginc.com/,60,MEDIUM,HIGH,,,,google_places,,,,
212,O&B LANDSCAPE,(951) 732-0369,4.5,30,"2130 N Arrowhead Ave, San Bernardino, CA 92405, USA",San Bernardino,CA,92405,http://www.oblandscape.com/,60,MEDIUM,HIGH,,,,google_places,,,,
213,dthree landscape,(909) 638-9298,4.7,29,"Norco, CA 92860, USA",Norco,CA,92860,http://dthreelandscape.com/,60,MEDIUM,HIGH,,,,google_places,,,,
214,Kens tree Service,(951) 212-0936,4.8,26,"31105 Lakeview Ave E, Nuevo, CA 92567, USA",Nuevo,CA,92567,https://kenstreeservices.com/,60,MEDIUM,HIGH,,,,google_places,,,,
215,Green Sky Irrigation,(951) 259-2100,4.8,37,"682 Spinnaker Dr, Perris, CA 92571, USA",Perris,CA,92571,http://www.greenskyirrigation.com/,60,MEDIUM,HIGH,,,,google_places,,,,
216,Perris Hydroponics,(909) 639-4769,4.8,37,"351 Wilkerson Ave UNIT D, Perris, CA 92570, USA",Perris,CA,92570,https://perrishydroponics.com/,60,MEDIUM,HIGH,,,,google_places,,,,
217,Goodman’s landscape,(951) 238-5042,4.9,36,"24350 Hernandez St, Perris, CA 92570, USA",Perris,CA,92570,https://www.goodmanlandscaping.com/,60,MEDIUM,HIGH,,,,google_places,,,,
218,Modern Landscape,(951) 462-2276,4.9,26,"700 E Redlands Blvd, Redlands, CA 92373, USA",Redlands,CA,92373,https://modernlandscape.net/about-us/,60,MEDIUM,HIGH,,,,google_places,,,,
219,Paz Landscape & Concrete,(951) 785-8274,5.0,35,"6725 Capistrano Way, Riverside, CA 92504, USA",Riverside,CA,92504,http://www.pazlandscape.com/,60,MEDIUM,HIGH,,,,google_places,,,,
220,Lorenzo's Landscaping,(951) 941-3151,5.0,25,"2310 5th St, Riverside, CA 92507, USA",Riverside,CA,92507,http://lorenzo-landscaping.com/,60,MEDIUM,HIGH,,,,google_places,,,,
221,Houston's Landscaping,(909) 521-1272,5.0,44,"29177 Stevens Ave, Moreno Valley, CA 92555, USA",Moreno Valley,CA,92555,https://www.houstons-landscaping.com/,60,MEDIUM,HIGH,,,,google_places,,,,
222,Schubert Landscaping and Irrigation repair,(909) 862-4477,5.0,41,"7745 Boulder Ave, Highland, CA 92346, USA",Highland,CA,92346,http://schubertlandscaping.com/,60,MEDIUM,HIGH,,,,google_places,,,,
223,Cruz Sons Concrete & Tree Service,(909) 515-3230,5.0,30,"18876 Lisa Ln, Perris, CA 92570, USA",Perris,CA,92570,https://www.cruzsonsconcretetreeservice.com/,60,MEDIUM,HIGH,,,,google_places,,,,
224,Green Horizon Landscaping Co,(951) 837-5781,5.0,39,"1784 Auburn Ct, Perris, CA 92570, USA",Perris,CA,92570,https://sopi1.my.canva.site/greenhorizonlandscapingco,60,MEDIUM,HIGH,,,,google_places,,,,
225,JB Landscape,(951) 454-5096,5.0,33,"23106 Claystone Ave, Corona, CA 92883, USA",Corona,CA,92883,http://jblandscapeca.com/,60,MEDIUM,HIGH,,,,google_places,,,,
226,Agustin's Irrigation Service,(619) 670-7933,4.5,30,"10879 Wagon Wheel Dr, Spring Valley, CA 91978, USA",Spring Valley,CA,91978,http://agustinirrigationservice.com/,60,MEDIUM,HIGH,,,,google_places,,,,
227,Ace Mega Succulents,(619) 646-9026,4.6,46,"8070 Mt Vernon St, Lemon Grove, CA 91945, USA",Lemon Grove,CA,91945,http://www.acemegasucculents.com/,60,MEDIUM,HIGH,,,,google_places,,,,
228,Ong Nursery,(858) 277-8167,4.6,49,"2528 Crandall Dr, San Diego, CA 92111, USA",San Diego,CA,92111,http://www.ongnursery.com/index.html,60,MEDIUM,HIGH,,,,google_places,,,,
229,Lowe's,(619) 212-4100,4.6,29,"9416 Mission Gorge Rd, Santee, CA 92071, USA",Santee,CA,92071,https://www.lowes.com/l/gardencenter.html?cm_mmc=YEXT-_-GC,60,MEDIUM,HIGH,,,,google_places,,,,
230,John's Lawn & Garden Landscaping,(619) 852-8458,4.7,47,"4223 Genesee Ave, San Diego, CA 92117, USA",San Diego,CA,92117,https://www.johnslawngarden.com/,60,MEDIUM,HIGH,,,,google_places,,,,
231,ArborSD Tree Service,(858) 609-7034,4.8,29,"3834 Pendiente Ct APT S207, San Diego, CA 92124, USA",San Diego,CA,92124,https://sandiegotreeservice.co/?utm_source=googlebusinessprofile&utm_medium=organic&utm_campaign=Google+Business+Profile,60,MEDIUM,HIGH,,,,google_places,,,,
232,Green Rabbit Professional Lawn Care,(858) 888-2471,4.9,45,"6920 Miramar Rd, San Diego, CA 92121, USA",San Diego,CA,92121,http://greenrabbitlawn.com/,60,MEDIUM,HIGH,,,,google_places,,,,
233,Tijuana Irrigation Supply,664 904 9642,4.9,28,"C. San Ignacio 8532, Campestre Murua, 22455 Tijuana, B.C., Mexico",Campestre Murua,B.C.,22455,http://www.tijuanairrigationsupply.com/,60,MEDIUM,HIGH,,,,google_places,,,,
234,Rock N Block - Turf N Hardscapes - San Diego,(619) 431-4706,5.0,40,"3517 Camino del Rio S #215, San Diego, CA 92108, USA",San Diego,CA,92108,https://rocknblocklandscape.com/locations/san-diego/?utm_campaign=gmb&utm_medium=organic&utm_source=gmb,60,MEDIUM,HIGH,,,,google_places,,,,
235,Stepping Stone Landscape Design,(619) 762-8988,5.0,27,"1455 Frazee Rd Suite 500, San Diego, CA 92108, USA",San Diego,CA,92108,https://steppingstonelandscape.com/,60,MEDIUM,HIGH,,,,google_places,,,,
236,I.B Gardener & Junk Removal Services,(619) 354-8054,5.0,25,"600 Emory St, Imperial Beach, CA 91932, USA",Imperial Beach,CA,91932,https://www.facebook.com/ibgardener?mibextid=ZbWKwL,60,MEDIUM,HIGH,,,,google_places,,,,
237,Coronado Best Turf,(619) 500-8873,5.0,34,"4231 Balboa Ave Suite 1054, San Diego, CA 92117, USA",San Diego,CA,92117,http://www.coronadoturf.com/,60,MEDIUM,HIGH,,,,google_places,,,,
238,HLE Landscape & Design,(619) 320-5197,5.0,26,"8105 Lemon Ave, La Mesa, CA 91941, USA",La Mesa,CA,91941,https://hlelandscapeanddesign.com/,60,MEDIUM,HIGH,,,,google_places,,,,
239,Botanically Crafted Landscapes,(619) 383-4396,5.0,28,"4470 Monahan Rd, La Mesa, CA 91941, USA",La Mesa,CA,91941,http://botanicallycrafted.com/,60,MEDIUM,HIGH,,,,google_places,,,,
240,Aldape G Landscaping Inc,(619) 646-1046,5.0,27,"6435 Tooley St, San Diego, CA 92114, USA",San Diego,CA,92114,https://aldapeglandscaping.com/,60,MEDIUM,HIGH,,,,google_places,,,,
241,San Diego Worm Farm,(619) 933-7117,5.0,44,"6649 Richard St, San Diego, CA 92115, USA",San Diego,CA,92115,http://sandiegowormfarm.com/,60,MEDIUM,HIGH,,,,google_places,,,,
242,Reveles Landscaping & Tree Service,(818) 233-4816,4.2,5,"750 N San Vicente Blvd, West Hollywood, CA 90069, USA",West Hollywood,CA,90069,https://www.revelesenterprises.com/revelesexteriors,60,MEDIUM,HIGH,,,,google_places,,,,
243,Temple Garden Center,(626) 452-0133,4.2,37,"11314 Lower Azusa Rd, El Monte, CA 91732, USA",El Monte,CA,91732,,60,MEDIUM,HIGH,,,,google_places,,,,
244,Shalbro Construction & Roofing,(323) 433-6784,5.0,31,"907 Flower St, Los Angeles, CA 90015, USA",Los Angeles,CA,90015,https://www.shalbroconstructionandroofing.com/,60,MEDIUM,HIGH,,,,google_places,,,,
245,Garden Worx Inc.,(626) 383-5682,5.0,31,"Calais st, Baldwin Park, CA 91706, USA",Baldwin Park,CA,91706,http://www.gardenworxlandscapes.com/,60,MEDIUM,HIGH,,,,google_places,,,,
246,Peter's Garden Center,(310) 372-2288,4.8,42,"814 N Pacific Coast Hwy, Redondo Beach, CA 90277, USA",Redondo Beach,CA,90277,https://www.instagram.com/petersgardencenter/,60,MEDIUM,HIGH,,,,google_places,,,,
247,Hawthorne Tree Service,(310) 598-3574,4.9,30,"11719 Wilkie Ave, Hawthorne, CA 90250, USA",Hawthorne,CA,90250,https://www.hawthornetreeservice.com/,60,MEDIUM,HIGH,,,,google_places,,,,
